sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
200,6001,,1756489869986176,1756489869986299,1756489870068720,1756489870204679,1756489870003982,1756489870210886,123,135959,70822,206904,135941,58786,23,1920,1080,yolov5n,offload
202,6061,,1756489870121148,1756489870121271,1756489870204979,1756489870341569,1756489870138471,1756489870348426,123,136590,73242,209955,136572,58538,25,1920,1080,yolov5n,offload
204,6121,,1756489870257397,1756489870257518,1756489870341868,1756489870481069,1756489870273533,1756489870488654,121,139201,75799,215121,139182,58257,23,1920,1080,yolov5n,offload
206,6181,,1756489870391279,1756489870391401,1756489870481489,1756489870618040,1756489870409106,1756489870626035,122,136551,80256,216929,136535,58367,20,1920,1080,yolov5n,offload
208,6241,,1756489870526504,1756489870526634,1756489870618513,1756489870754589,1756489870544327,1756489870761372,130,136076,80839,217045,136060,57592,19,1920,1080,yolov5n,offload
210,6301,,1756489870661887,1756489870662004,1756489870755036,1756489870889691,1756489870679731,1756489870895999,117,134655,81496,216268,134639,56887,18,1920,1080,yolov5n,offload
212,6361,,1756489870796948,1756489870797069,1756489870889968,1756489871025588,1756489870814062,1756489871032277,121,135620,82474,218215,135604,56632,15,1920,1080,yolov5n,offload
214,6421,,1756489870930615,1756489870930743,1756489871026028,1756489871161219,1756489870948400,1756489871169107,128,135191,85388,220707,135173,56962,17,1920,1080,yolov5n,offload
216,6481,,1756489871065883,1756489871066012,1756489871161503,1756489871295441,1756489871083686,1756489871304987,129,133938,87234,221301,133923,57001,15,1920,1080,yolov5n,offload
218,6541,,1756489871199971,1756489871200096,1756489871295685,1756489871429089,1756489871217804,1756489871435705,125,133404,84372,217901,133390,56933,15,1920,1080,yolov5n,offload
220,6601,,1756489871334284,1756489871334411,1756489871429502,1756489871563082,1756489871351663,1756489871571225,127,133580,85855,219562,133565,56675,14,1920,1080,yolov5n,offload
222,6661,,1756489871467513,1756489871467638,1756489871563400,1756489871702938,1756489871485379,1756489871709667,125,139538,84625,224288,139523,57000,17,1920,1080,yolov5n,offload
224,6721,,1756489871603359,1756489871603486,1756489871703371,1756489871839014,1756489871620912,1756489871845606,127,135643,88924,224694,135630,57558,16,1920,1080,yolov5n,offload
226,6781,,1756489871737062,1756489871737189,1756489871839281,1756489871980146,1756489871754368,1756489871986580,127,140865,91220,232212,140847,58370,23,1920,1080,yolov5n,offload
228,6841,,1756489871872763,1756489871872886,1756489871980710,1756489872117136,1756489871890342,1756489872123901,123,136426,97010,233559,136408,58064,21,1920,1080,yolov5n,offload
230,6901,,1756489872007745,1756489872007880,1756489872117405,1756489872256087,1756489872025980,1756489872262864,135,138682,98067,236884,138664,58825,24,1920,1080,yolov5n,offload
232,6961,,1756489872144011,1756489872144134,1756489872256392,1756489872393365,1756489872161308,1756489872400015,123,136973,101611,238707,136955,58071,24,1920,1080,yolov5n,offload
234,7021,,1756489872279716,1756489872279844,1756489872393649,1756489872528499,1756489872297271,1756489872535045,128,134850,102796,237774,134835,57341,15,1920,1080,yolov5n,offload
236,7081,,1756489872413915,1756489872414039,1756489872528760,1756489872668262,1756489872431724,1756489872674952,124,139502,103602,243228,139487,57232,18,1920,1080,yolov5n,offload
238,7141,,1756489872547925,1756489872548052,1756489872668718,1756489872803738,1756489872565731,1756489872810353,127,135020,109475,244622,135004,56515,16,1920,1080,yolov5n,offload
240,7201,,1756489872681961,1756489872682084,1756489872804150,1756489872938159,1756489872699629,1756489872944732,123,134009,110971,245103,133995,56926,15,1920,1080,yolov5n,offload
242,7261,,1756489872814151,1756489872814282,1756489872938396,1756489873074249,1756489872833819,1756489873080876,131,135853,111073,247057,135838,56977,18,1920,1080,yolov5n,offload
244,7321,,1756489872950334,1756489872950466,1756489873074511,1756489873209147,1756489872968126,1756489873215776,132,134636,112882,247650,134622,57050,17,1920,1080,yolov5n,offload
246,7381,,1756489873085488,1756489873085614,1756489873209529,1756489873347817,1756489873103274,1756489873354466,126,138288,112778,251192,138273,57159,16,1920,1080,yolov5n,offload
248,7441,,1756489873220377,1756489873220501,1756489873348017,1756489873483446,1756489873238186,1756489873489946,124,135429,116207,251760,135414,57139,15,1920,1080,yolov5n,offload
251,7531,,1756489873422245,1756489873422371,1756489873483681,1756489873618694,1756489873439595,1756489873625348,126,135013,50614,185753,134998,57380,17,1920,1080,yolov5n,offload
253,7591,,1756489873555885,1756489873556008,1756489873618951,1756489873754438,1756489873573978,1756489873761159,123,135487,51571,187181,135472,57517,19,1920,1080,yolov5n,offload
255,7651,,1756489873691259,1756489873691381,1756489873754716,1756489873890212,1756489873708253,1756489873897217,122,135496,53346,188964,135482,57183,19,1920,1080,yolov5n,offload
